year,raceId,boatType,classId,place,value,temp,rain,water,n_paddler
2016,ADK90,Canoe,open,NA,5.756111111111111,69.6,0.004,3.19,6
2025,ADK90,Canoe,oc2stock,4,5.756166666666667,60.5,0.134,3.08,2
2012,ADK90,Canoe,oc2stock,6,5.756388888888889,69.1,0.516,4.29,2
2011,ADK90,Canoe,open,NA,5.756944444444445,62.9,0,7.28,6
2022,ADK90,Kayak,k1unlimitedveteran,2,5.757944444444444,67.5,0,3.91,1
2017,ADK90,Canoe,oc1recmaster,2,5.760277777777778,52.8,0.02,5.46,1
2009,ADK90,Canoe,oc2stock,7,5.760833333333333,60,0.185,4.03,2
2016,ADK90,Canoe,open,NA,5.761111111111111,69.6,0.004,3.19,6
2015,ADK90,Canoe,oc2stock,8,5.761666666666667,63,0.185,2.75,2
2013,ADK90,Kayak,k1tourwomen,1,5.7619444444444445,57.4,0.047,4.6,1
2009,ADK90,Guideboat,g1,1,5.762222222222222,60,0.185,4.03,1
2012,ADK90,Canoe,oc2stock,7,5.762222222222222,69.1,0.516,4.29,2
2023,ADK90,Canoe,oc1stock,1,5.763472222222222,65.2,0,5,1
2012,ADK90,Canoe,oc4mix,14,5.7652777777777775,69.1,0.516,4.29,4
2021,ADK90,Canoe,oc2rec,1,5.765555555555555,60,0,5.13,2
2010,ADK90,Canoe,open,NA,5.766944444444444,58.4,0,3.89,6
2019,ADK90,Guideboat,g1,2,5.7675,59.3,0.008,4.97,1
2014,ADK90,Canoe,open,NA,5.768611111111111,68.9,0.067,4.01,6
2012,ADK90,Canoe,oc2am,5,5.771111111111111,69.1,0.516,4.29,2
2015,ADK90,Canoe,oc2rec,1,5.771111111111111,63,0.185,2.75,2
2021,ADK90,Canoe,oc2stock,6,5.771111111111111,60,0,5.13,2
2009,ADK90,Kayak,k1unlimted,6,5.7716666666666665,60,0.185,4.03,1
2013,ADK90,Kayak,k1tour,3,5.771944444444444,57.4,0.047,4.6,1
2018,ADK90,Canoe,oc2stockmaster,2,5.772222222222222,58.7,0,2.76,2
2017,ADK90,Canoe,oc2stockmixmaster,3,5.773055555555556,52.8,0.02,5.46,2
2023,ADK90,Guideboat,g2mix,1,5.773305555555556,65.2,0,5,2
